i,j,distance
21,1,2287.124157
21,2,2224.669145
21,3,2063.62825
21,4,1995.991163
21,5,2427.421427
21,6,2715.221065
21,7,2996.539312
21,8,3454.08116
21,9,1673.564084
21,10,1634.8364
21,11,1509.074232
21,12,1487.340786
21,13,1056.220571
21,14,1115.251886
21,15,1961.974047
21,16,1671.852207
21,17,1240.001529
21,18,950.530703
21,19,459.914771
21,20,376.282297
21,21,0
21,22,1132.27685
21,23,1341.310225
21,24,817.264714
21,25,961.493911
21,27,1590.515984
21,28,1894.324134
21,29,2265.999803
21,30,1980.17555
21,31,3375.42385
22,1,1465.478149
22,2,1448.854691
22,3,1256.82638
22,4,1080.264021
22,5,1440.830991
22,6,2039.823919
22,7,2307.120578
22,8,2715.270833
22,9,1458.934815
22,10,1302.037234
22,11,1326.67741
22,12,1066.04631
22,13,1227.249803
22,14,922.907014
22,15,1259.649466
22,16,890.373483
22,17,763.487481
22,18,654.999555
22,19,980.930134
22,20,772.570024
22,21,1132.27685
22,22,0
22,23,259.819291
22,24,334.60893
22,25,622.050931
22,27,573.35417
22,28,762.47236
22,29,1191.633301
22,30,878.603716
22,31,2290.749953
23,1,1518.495021
23,2,1520.643825
23,3,1328.408341
23,4,1115.370808
23,5,1413.71297
23,6,2121.213338
23,7,2376.535165
23,8,2759.679948
23,9,1667.184905
23,10,1498.901063
23,11,1545.557257
23,12,1262.393779
23,13,1481.43851
23,14,1163.711082
23,15,1369.009499
23,16,1005.161475
23,17,978.743111
23,18,906.615282
23,19,1232.504687
23,20,968.693052
23,21,1341.310225
23,22,259.819291
23,23,0
23,24,524.116449
23,25,638.132203
23,27,608.224683
23,28,597.546705
23,29,942.492238
23,30,782.736007
23,31,2048.445955
24,1,1734.455919
24,2,1703.563055
24,3,1516.331865
24,4,1369.680853
24,5,1755.204239
24,6,2276.209356
24,7,2551.304144
24,8,2977.013017
24,9,1532.062712
24,10,1404.599866
24,11,1380.250787
24,12,1181.542252
24,13,1155.289158
24,14,934.551518
24,15,1485.205742
24,16,1126.693196
24,17,864.364442
24,18,646.80338
24,19,758.199563
24,20,446.557165
24,21,817.264714
24,22,334.60893
24,23,524.116449
24,24,0
24,25,432.912463
24,27,882.496854
24,28,1089.960745
24,29,1456.914874
24,30,1212.762168
24,31,2566.261117
25,1,2087.390744
25,2,2070.35275
25,3,1878.601658
25,4,1699.074724
25,5,2037.782315
25,6,2658.702395
25,7,2927.851564
25,8,3337.235774
25,9,1964.915418
25,10,1835.2012
25,11,1813.037728
25,12,1609.300744
25,13,1564.737054
25,14,1366.163099
25,15,1873.496677
25,16,1506.118259
25,17,1292.111272
25,18,1079.036558
25,19,1085.767782
25,20,619.300786
25,21,961.493911
25,22,622.050931
25,23,638.132203
25,24,432.912463
25,25,0
25,27,1187.235834
25,28,1225.016138
25,29,1401.464047
25,30,1420.601852
25,31,2488.585436
27,1,912.201579
27,2,912.481189
27,3,720.471738
27,4,513.688522
27,5,872.717789
27,6,1513.247019
27,7,1768.659434
27,8,2158.452086
27,9,1226.22931
27,10,1037.563319
27,11,1146.588805
27,12,821.001366
27,13,1277.733479
27,14,904.974285
27,15,776.414415
27,16,434.148081
27,17,647.627511
27,18,774.925595
27,19,1302.622795
27,20,1273.842495
27,21,1590.515984
27,22,573.35417
27,23,608.224683
27,24,882.496854
27,25,1187.235834
27,27,0
27,28,513.269716
27,29,1133.883932
27,30,430.154818
27,31,2110.248098
28,1,1191.278257
28,2,1234.346492
28,3,1065.647383
28,4,807.769726
28,5,940.08799
28,6,1811.868665
28,7,2030.581669
28,8,2353.495883
28,9,1732.390207
28,10,1541.608991
28,11,1658.873137
28,12,1331.707493
28,13,1771.004999
28,14,1403.056239
28,15,1189.340152
28,16,909.378105
28,17,1152.634064
28,18,1230.411439
28,19,1697.963811
28,20,1533.942211
28,21,1894.324134
28,22,762.47236
28,23,597.546705
28,24,1089.960745
28,25,1225.016138
28,27,513.269716
28,28,0
28,29,628.474606
28,30,276.290487
28,31,1612.48504
29,1,1753.619848
29,2,1814.097662
29,3,1662.180194
